"","Aridity_index","yhat"
"1",0.0460269972681999,13.5269790189525
"2",0.0911036728307455,13.3002599889862
"3",0.136180348393291,13.266131575778
"4",0.181257023955837,13.1872719325492
"5",0.226333699518382,12.9426651968844
"6",0.271410375080928,12.6890295920656
"7",0.316487050643473,12.5104447240337
"8",0.361563726206019,11.5606304072846
"9",0.406640401768564,11.0833488649575
"10",0.45171707733111,10.826570898564
"11",0.496793752893656,10.7040621483105
"12",0.541870428456201,10.6686955607166
"13",0.586947104018747,10.578330681978
"14",0.632023779581292,10.5282230460614
"15",0.677100455143838,10.4387950135613
"16",0.722177130706383,10.4443330537395
"17",0.767253806268929,10.4943258935882
"18",0.812330481831474,10.5715459144796
"19",0.85740715739402,10.6636501602901
"20",0.902483832956566,10.7979831979815
"21",0.947560508519111,10.912464698791
"22",0.992637184081657,11.0536092091933
"23",1.0377138596442,11.1215783349585
"24",1.08279053520675,11.2019558446395
"25",1.12786721076929,11.2689051870532
"26",1.17294388633184,11.3552914646258
"27",1.21802056189438,11.4315195463925
"28",1.26309723745693,11.4886444914822
"29",1.30817391301948,11.5471446291697
"30",1.35325058858202,11.6202597487198
"31",1.39832726414457,11.7023205882493
"32",1.44340393970711,11.7706801774158
"33",1.48848061526966,11.856422848912
"34",1.5335572908322,11.9243177394175
"35",1.57863396639475,11.9571678537041
"36",1.62371064195729,11.9912241138478
"37",1.66878731751984,12.0246004846556
"38",1.71386399308239,12.0684796251133
"39",1.75894066864493,12.1015108487029
"40",1.80401734420748,12.1424674201634
"41",1.84909401977002,12.1840873595219
"42",1.89417069533257,12.2189334119925
"43",1.93924737089511,12.253439287428
"44",1.98432404645766,12.2788717966157
"45",2.0294007220202,12.3097513105079
"46",2.07447739758275,12.3456551479762
"47",2.1195540731453,12.3648099228463
"48",2.16463074870784,12.3827069739379
"49",2.20970742427039,12.4038630590055
"50",2.25478409983293,12.4215691458253
"51",2.29986077539548,12.435155164294
"52",2.34493745095802,12.4596201979276
"53",2.39001412652057,12.4790273437449
"54",2.43509080208311,12.496191963693
"55",2.48016747764566,12.5203031907752
"56",2.52524415320821,12.5556401024905
"57",2.57032082877075,12.6103349830717
"58",2.6153975043333,12.6499179065728
"59",2.66047417989584,12.6778359010699
"60",2.70555085545839,12.7074993180403
"61",2.75062753102093,12.718654223554
"62",2.79570420658348,12.7323977102355
"63",2.84078088214602,12.7600092448851
"64",2.88585755770857,12.7882085443679
"65",2.93093423327112,12.8024422534363
"66",2.97601090883366,12.8459920998773
"67",3.02108758439621,12.8549507321307
"68",3.06616425995875,12.8575527377675
"69",3.1112409355213,12.8591495722486
"70",3.15631761108384,12.8614526809372
"71",3.20139428664639,12.8618016473134
"72",3.24647096220893,12.8624249504339
"73",3.29154763777148,12.863346712332
"74",3.33662431333403,12.8639927987118
"75",3.38170098889657,12.8656683479522
"76",3.42677766445912,12.8681216536832
"77",3.47185434002166,12.8690540958133
"78",3.51693101558421,12.8705027079719
"79",3.56200769114675,12.8708089922396
"80",3.6070843667093,12.8708378266105
"81",3.65216104227185,12.8708348232607
"82",3.69723771783439,12.8708847913185
"83",3.74231439339694,12.8709296869104
"84",3.78739106895948,12.871271004166
"85",3.83246774452203,12.871302718898
"86",3.87754442008457,12.8712922134165
"87",3.92262109564712,12.8720913789255
"88",3.96769777120966,12.8720952612816
"89",4.01277444677221,12.8721509258567
"90",4.05785112233476,12.8721184951959
"91",4.1029277978973,12.8721247324485
"92",4.14800447345985,12.8721247324485
"93",4.19308114902239,12.8721310941615
"94",4.23815782458494,12.8719345690484
"95",4.28323450014748,12.8719345690484
"96",4.32831117571003,12.8719345690484
"97",4.37338785127257,12.8719496073301
"98",4.41846452683512,12.8719581134147
"99",4.46354120239767,12.8719670006275
"100",4.50861787796021,12.8719723256962
