"","Biodiversity","yhat"
"1",68.1999969482422,13.8455114617347
"2",107.599997472281,13.7622525813224
"3",146.999997996321,13.4380280298035
"4",186.39999852036,13.0469517866923
"5",225.799999044399,12.8426939707806
"6",265.199999568439,12.7011462388827
"7",304.600000092478,12.6210126100137
"8",344.000000616517,12.5268255382095
"9",383.400001140556,12.342164000978
"10",422.800001664596,12.0148639114294
"11",462.200002188635,11.8204088408688
"12",501.600002712674,11.5647546934074
"13",541.000003236713,11.4823633580457
"14",580.400003760753,11.2116495142391
"15",619.800004284792,10.9467527899935
"16",659.200004808831,10.7779983791363
"17",698.600005332871,10.7040000096781
"18",738.00000585691,10.6180713561616
"19",777.400006380949,10.56666758833
"20",816.800006904988,10.5344598249214
"21",856.200007429028,10.5236292725835
"22",895.600007953067,10.5226935027619
"23",935.000008477106,10.5157348919294
"24",974.400009001145,10.5235009067725
"25",1013.80000952518,10.5225462390773
"26",1053.20001004922,10.5268149579077
"27",1092.60001057326,10.5409182124766
"28",1132.0000110973,10.5420309303422
"29",1171.40001162134,10.5731874328903
"30",1210.80001214538,10.5948981292702
"31",1250.20001266942,10.6344994776185
"32",1289.60001319346,10.6692037384925
"33",1329.0000137175,10.7001115246578
"34",1368.40001424154,10.7320920427463
"35",1407.80001476558,10.7622226834277
"36",1447.20001528962,10.8372233059493
"37",1486.60001581366,10.8872163483301
"38",1526.0000163377,10.9545120977639
"39",1565.40001686173,11.0217156760486
"40",1604.80001738577,11.0958471485391
"41",1644.20001790981,11.1951814270541
"42",1683.60001843385,11.2414355032867
"43",1723.00001895789,11.2995152936623
"44",1762.40001948193,11.3468800701075
"45",1801.80002000597,11.3922669972562
"46",1841.20002053001,11.4360217469668
"47",1880.60002105405,11.4699969798999
"48",1920.00002157809,11.5052127600101
"49",1959.40002210213,11.5268941276574
"50",1998.80002262617,11.5513336452539
"51",2038.20002315021,11.5778220519586
"52",2077.60002367425,11.5997179748757
"53",2117.00002419828,11.6185445244225
"54",2156.40002472232,11.6293801217436
"55",2195.80002524636,11.6427877487984
"56",2235.2000257704,11.6486992739166
"57",2274.60002629444,11.6586162230006
"58",2314.00002681848,11.6774506883141
"59",2353.40002734252,11.7113056923398
"60",2392.80002786656,11.7346285726213
"61",2432.2000283906,11.7558843671317
"62",2471.60002891464,11.769537530653
"63",2511.00002943868,11.7815677271451
"64",2550.40002996272,11.7975776623042
"65",2589.80003048676,11.8104890024873
"66",2629.20003101079,11.8229985685628
"67",2668.60003153483,11.8565122871072
"68",2708.00003205887,11.870503253377
"69",2747.40003258291,11.875714317372
"70",2786.80003310695,11.8866161179166
"71",2826.20003363099,11.9846697160728
"72",2865.60003415503,12.0103395484033
"73",2905.00003467907,12.0844376960099
"74",2944.40003520311,12.0961107191879
"75",2983.80003572715,12.0979384232969
"76",3023.20003625119,12.1008603859566
"77",3062.60003677523,12.1044676986066
"78",3102.00003729927,12.1128590194846
"79",3141.40003782331,12.1167651028798
"80",3180.80003834734,12.1348315392453
"81",3220.20003887138,12.1371154808669
"82",3259.60003939542,12.1372267129363
"83",3299.00003991946,12.1446927713091
"84",3338.4000404435,12.1844473005607
"85",3377.80004096754,12.274177477535
"86",3417.20004149158,12.3697181032914
"87",3456.60004201562,12.4896595583659
"88",3496.00004253966,12.5043877217518
"89",3535.4000430637,12.5317924148598
"90",3574.80004358774,12.5353411663314
"91",3614.20004411178,12.5558711919698
"92",3653.60004463582,12.5611931165762
"93",3693.00004515986,12.6161975478323
"94",3732.40004568389,12.6270252480829
"95",3771.80004620793,12.6270252480829
"96",3811.20004673197,12.6824457953003
"97",3850.60004725601,12.7212648991407
"98",3890.00004778005,12.7212648991407
"99",3929.40004830409,12.7212648991407
"100",3968.80004882813,12.7212648991407
