"","LAI_pre","yhat"
"1",-3.52,9.09285273966283
"2",-3.44433198653199,9.09285273966283
"3",-3.36866397306397,9.09285273966283
"4",-3.29299595959596,9.09285195309063
"5",-3.21732794612795,9.09289895872045
"6",-3.14165993265993,9.09289575215028
"7",-3.06599191919192,9.09289425846616
"8",-2.99032390572391,9.09289381934449
"9",-2.91465589225589,9.09274010250749
"10",-2.83898787878788,9.09261880587793
"11",-2.76331986531987,9.0925310673851
"12",-2.68765185185185,9.0897879304795
"13",-2.61198383838384,9.07892899610343
"14",-2.53631582491583,9.06782431412371
"15",-2.46064781144781,9.04730805141575
"16",-2.3849797979798,9.02050291319729
"17",-2.30931178451178,8.99942817568288
"18",-2.23364377104377,8.96452451250898
"19",-2.15797575757576,8.91725575105167
"20",-2.08230774410774,8.88330910282977
"21",-2.00663973063973,8.84557614175899
"22",-1.93097171717172,8.79658666486355
"23",-1.8553037037037,8.75395100807677
"24",-1.77963569023569,8.7142185533964
"25",-1.70396767676768,8.67831221267326
"26",-1.62829966329966,8.65181797713397
"27",-1.55263164983165,8.62572736709387
"28",-1.47696363636364,8.59806545231372
"29",-1.40129562289562,8.57329009479581
"30",-1.32562760942761,8.56046148579319
"31",-1.2499595959596,8.55360415685851
"32",-1.17429158249158,8.5579407324183
"33",-1.09862356902357,8.56832448879255
"34",-1.02295555555556,8.58393723480999
"35",-0.947287542087543,8.61105631797549
"36",-0.87161952861953,8.66910459126951
"37",-0.795951515151516,8.74570655426501
"38",-0.720283501683503,8.82890046230564
"39",-0.644615488215489,8.91435210126843
"40",-0.568947474747476,9.06373272227991
"41",-0.493279461279462,9.29902478905569
"42",-0.417611447811449,9.51354825663272
"43",-0.341943434343436,9.66062134216131
"44",-0.266275420875422,9.85817529055134
"45",-0.190607407407409,10.0422469830099
"46",-0.114939393939395,10.2176480863263
"47",-0.0392713804713818,10.4084460987357
"48",0.0363966329966314,10.614402108634
"49",0.112064646464645,11.035103209535
"50",0.187732659932659,11.691899460113
"51",0.263400673400672,11.8568206278921
"52",0.339068686868685,12.0753483215754
"53",0.414736700336699,12.3672719925127
"54",0.490404713804713,12.638980538111
"55",0.566072727272725,12.858000757242
"56",0.641740740740739,13.0699165347274
"57",0.717408754208753,13.312680461292
"58",0.793076767676766,13.5822462868052
"59",0.86874478114478,13.831008484845
"60",0.944412794612793,14.0357176898254
"61",1.02008080808081,14.2365777390746
"62",1.09574882154882,14.4397289358853
"63",1.17141683501683,14.8500359278225
"64",1.24708484848485,15.0475393230422
"65",1.32275286195286,15.3010365653824
"66",1.39842087542087,15.5618853988708
"67",1.47408888888889,15.8473479832652
"68",1.5497569023569,16.0893534566602
"69",1.62542491582491,16.3172940998634
"70",1.70109292929293,16.5059724302457
"71",1.77676094276094,16.68663412706
"72",1.85242895622895,16.8611449615812
"73",1.92809696969697,17.0539203419298
"74",2.00376498316498,17.2322687809705
"75",2.07943299663299,17.3963794188577
"76",2.15510101010101,17.6231440885883
"77",2.23076902356902,17.8647875853175
"78",2.30643703703704,17.9919713960962
"79",2.38210505050505,18.1962812225531
"80",2.45777306397306,18.3191277013868
"81",2.53344107744108,18.4351073454283
"82",2.60910909090909,18.5484829301672
"83",2.6847771043771,18.6366567607107
"84",2.76044511784512,18.6620797062
"85",2.83611313131313,18.711601750621
"86",2.91178114478114,18.7649103052096
"87",2.98744915824916,18.8306518118905
"88",3.06311717171717,18.8688481050881
"89",3.13878518518518,18.8842661699005
"90",3.2144531986532,18.9171876257718
"91",3.29012121212121,18.9219285341565
"92",3.36578922558922,18.9202152331648
"93",3.44145723905724,18.9210794261059
"94",3.51712525252525,18.921535632015
"95",3.59279326599326,18.9217206982385
"96",3.66846127946128,18.9217244569119
"97",3.74412929292929,18.9217244569119
"98",3.8197973063973,18.9217244569119
"99",3.89546531986532,18.9217473807007
"100",3.97113333333333,18.9217473807007
