"","MAP","yhat"
"1",121.890975952148,13.1990753273034
"2",243.665425926748,12.8372060594295
"3",365.439875901347,11.9436970207686
"4",487.214325875946,11.2002491090332
"5",608.988775850546,11.0018368026041
"6",730.763225825145,11.0822386507608
"7",852.537675799745,11.1198815290397
"8",974.312125774345,11.2392414586649
"9",1096.08657574894,11.2903234352657
"10",1217.86102572354,11.3688255804188
"11",1339.63547569814,11.4619616511542
"12",1461.40992567274,11.568407994123
"13",1583.18437564734,11.6510160280686
"14",1704.95882562194,11.7283528086251
"15",1826.73327559654,11.8021364825266
"16",1948.50772557114,11.8678988834297
"17",2070.28217554574,11.9173179677653
"18",2192.05662552034,11.9677166175646
"19",2313.83107549494,12.0165842120032
"20",2435.60552546954,12.0604223678732
"21",2557.37997544414,12.1011050800731
"22",2679.15442541874,12.1528078561032
"23",2800.92887539334,12.173257644513
"24",2922.70332536794,12.1911674142768
"25",3044.47777534254,12.2028900603287
"26",3166.25222531714,12.2067950031729
"27",3288.02667529174,12.2093662130664
"28",3409.80112526633,12.2117906340061
"29",3531.57557524093,12.2142842978323
"30",3653.35002521553,12.2170615365107
"31",3775.12447519013,12.2214568453758
"32",3896.89892516473,12.2217508698043
"33",4018.67337513933,12.2218123202789
"34",4140.44782511393,12.221871486917
"35",4262.22227508853,12.2219399750696
"36",4383.99672506313,12.2219808691113
"37",4505.77117503773,12.2219665348612
"38",4627.54562501233,12.2219781685934
"39",4749.32007498693,12.2220062063673
"40",4871.09452496153,12.2220129270746
"41",4992.86897493613,12.2221563976624
"42",5114.64342491073,12.2221766039993
"43",5236.41787488533,12.2222253264515
"44",5358.19232485993,12.2222475411242
"45",5479.96677483453,12.2222739835262
"46",5601.74122480913,12.2222829168144
"47",5723.51567478373,12.2223366361379
"48",5845.29012475832,12.2223963532031
"49",5967.06457473292,12.2223998920596
"50",6088.83902470752,12.2224074124769
"51",6210.61347468212,12.2225045164363
"52",6332.38792465672,12.2225032176122
"53",6454.16237463132,12.2225033582202
"54",6575.93682460592,12.2225104411773
"55",6697.71127458052,12.2225307160554
"56",6819.48572455512,12.2226472878824
"57",6941.26017452972,12.2226458718979
"58",7063.03462450432,12.2226560380316
"59",7184.80907447892,12.2226702771071
"60",7306.58352445352,12.2226729250702
"61",7428.35797442812,12.2226729250702
"62",7550.13242440272,12.2227045906578
"63",7671.90687437732,12.2227044552846
"64",7793.68132435192,12.2227044552846
"65",7915.45577432652,12.2227044552846
"66",8037.23022430112,12.2227044552846
"67",8159.00467427572,12.2226989564266
"68",8280.77912425032,12.2226989564266
"69",8402.55357422491,12.2226993632788
"70",8524.32802419951,12.2226993632788
"71",8646.10247417411,12.2226993632788
"72",8767.87692414871,12.222699487085
"73",8889.65137412331,12.222699487085
"74",9011.42582409791,12.2227054959521
"75",9133.20027407251,12.2227054959521
"76",9254.97472404711,12.2227054959521
"77",9376.74917402171,12.2227054959521
"78",9498.52362399631,12.2227054959521
"79",9620.29807397091,12.2227054959521
"80",9742.07252394551,12.2227054959521
"81",9863.84697392011,12.2227054959521
"82",9985.62142389471,12.2227054959521
"83",10107.3958738693,12.2227054959521
"84",10229.1703238439,12.2227054959521
"85",10350.9447738185,12.2227054959521
"86",10472.7192237931,12.2227055315455
"87",10594.4936737677,12.2227055315455
"88",10716.2681237423,12.2227055315455
"89",10838.0425737169,12.2227055315455
"90",10959.8170236915,12.2227055315455
"91",11081.5914736661,12.2227055315455
"92",11203.3659236407,12.2227055315455
"93",11325.1403736153,12.2227055315455
"94",11446.9148235899,12.2227055315455
"95",11568.6892735645,12.2227055315455
"96",11690.4637235391,12.2227055315455
"97",11812.2381735137,12.2227055315455
"98",11934.0126234883,12.2227055315455
"99",12055.7870734629,12.2227055315455
"100",12177.5615234375,12.2227055315455
