"","NPP_lag","yhat"
"1",-3.405476,12.4412347030657
"2",-3.32699282828283,12.4412347030657
"3",-3.24850965656566,12.4412347030657
"4",-3.17002648484848,12.44123485725
"5",-3.09154331313131,12.441233298206
"6",-3.01306014141414,12.4412301085247
"7",-2.93457696969697,12.4396523022972
"8",-2.8560937979798,12.4353636446735
"9",-2.77761062626263,12.4236263743902
"10",-2.69912745454545,12.4194772538468
"11",-2.62064428282828,12.4159432007531
"12",-2.54216111111111,12.4098028882402
"13",-2.46367793939394,12.4056305429149
"14",-2.38519476767677,12.4014842987529
"15",-2.3067115959596,12.3970196195422
"16",-2.22822842424242,12.3932318515145
"17",-2.14974525252525,12.386138740981
"18",-2.07126208080808,12.377518580793
"19",-1.99277890909091,12.3626907448045
"20",-1.91429573737374,12.3425207335407
"21",-1.83581256565657,12.3114230697498
"22",-1.75732939393939,12.279913316881
"23",-1.67884622222222,12.2507780514619
"24",-1.60036305050505,12.2291102032699
"25",-1.52187987878788,12.2013546465121
"26",-1.44339670707071,12.1708613930566
"27",-1.36491353535354,12.1425271764201
"28",-1.28643036363636,12.1011804102327
"29",-1.20794719191919,12.0535173579272
"30",-1.12946402020202,12.0020514113193
"31",-1.05098084848485,11.9360429922481
"32",-0.972497676767677,11.8780554900494
"33",-0.894014505050505,11.8099582174664
"34",-0.815531333333333,11.7363737676278
"35",-0.737048161616162,11.6530625938015
"36",-0.65856498989899,11.6148140095743
"37",-0.580081818181819,11.5248834488044
"38",-0.501598646464647,11.4872875548964
"39",-0.423115474747475,11.393074029157
"40",-0.344632303030303,11.3162971280007
"41",-0.266149131313131,11.2151833713997
"42",-0.18766595959596,11.0792408530117
"43",-0.109182787878788,11.0300375712637
"44",-0.0306996161616162,10.9802034400832
"45",0.0477835555555552,10.9328432448127
"46",0.126266727272727,10.8920512662227
"47",0.204749898989899,10.852779647661
"48",0.28323307070707,10.823835736661
"49",0.361716242424242,10.7693884943359
"50",0.440199414141414,10.7386981885432
"51",0.518682585858586,10.7076241026677
"52",0.597165757575757,10.6772074367046
"53",0.675648929292929,10.6488943079598
"54",0.754132101010101,10.5771969140514
"55",0.832615272727272,10.5636599783483
"56",0.911098444444444,10.5623241552514
"57",0.989581616161616,10.5618453580754
"58",1.06806478787879,10.5663840507839
"59",1.14654795959596,10.5781304294286
"60",1.22503113131313,10.5963743542363
"61",1.3035143030303,10.6196599515271
"62",1.38199747474747,10.647127019165
"63",1.46048064646465,10.6717447274593
"64",1.53896381818182,10.7150055919324
"65",1.61744698989899,10.7653563561672
"66",1.69593016161616,10.7984764620834
"67",1.77441333333333,10.8391862297564
"68",1.8528965050505,10.8568927301565
"69",1.93137967676768,10.8750607250061
"70",2.00986284848485,10.8890293230827
"71",2.08834602020202,10.8956233726491
"72",2.16682919191919,10.908257102339
"73",2.24531236363636,10.9217717007597
"74",2.32379553535354,10.9324119904481
"75",2.40227870707071,10.9363769194256
"76",2.48076187878788,10.9390828047873
"77",2.55924505050505,10.9432673349558
"78",2.63772822222222,10.9486317123003
"79",2.71621139393939,10.9516230266609
"80",2.79469456565656,10.9534139135351
"81",2.87317773737374,10.9543423428516
"82",2.95166090909091,10.9556363866683
"83",3.03014408080808,10.9576904453928
"84",3.10862725252525,10.960272342374
"85",3.18711042424242,10.9634579412366
"86",3.2655935959596,10.964099205118
"87",3.34407676767677,10.9675941806435
"88",3.42255993939394,10.9681030108873
"89",3.50104311111111,10.9684598965456
"90",3.57952628282828,10.9685994908584
"91",3.65800945454545,10.9701119195021
"92",3.73649262626263,10.9701238388667
"93",3.8149757979798,10.9706810902356
"94",3.89345896969697,10.971153592908
"95",3.97194214141414,10.9721400399011
"96",4.05042531313131,10.9727662020157
"97",4.12890848484848,10.9728155121432
"98",4.20739165656566,10.9777221884363
"99",4.28587482828283,10.9777221884363
"100",4.364358,10.9777663551774
