"","SSRD_lag","yhat"
"1",-2.9564765,10.587901525616
"2",-2.89671026262626,10.587901525616
"3",-2.83694402525253,10.587901525616
"4",-2.77717778787879,10.587901525616
"5",-2.71741155050505,10.5875588975642
"6",-2.65764531313131,10.5875587065925
"7",-2.59787907575758,10.5875601140636
"8",-2.53811283838384,10.5875591941721
"9",-2.4783466010101,10.5875596452906
"10",-2.41858036363636,10.5871549276625
"11",-2.35881412626263,10.5871588807332
"12",-2.29904788888889,10.5871331934576
"13",-2.23928165151515,10.5871374457449
"14",-2.17951541414141,10.5870368990237
"15",-2.11974917676768,10.5871153520695
"16",-2.05998293939394,10.5870659046674
"17",-2.0002167020202,10.5866922772544
"18",-1.94045046464646,10.5863622483575
"19",-1.88068422727273,10.5860655643365
"20",-1.82091798989899,10.5860224555382
"21",-1.76115175252525,10.5853402499777
"22",-1.70138551515152,10.5864947891319
"23",-1.64161927777778,10.5879110525536
"24",-1.58185304040404,10.5880276952454
"25",-1.5220868030303,10.586571386833
"26",-1.46232056565657,10.5864964372693
"27",-1.40255432828283,10.5851406977583
"28",-1.34278809090909,10.5840974011198
"29",-1.28302185353535,10.5836663849396
"30",-1.22325561616162,10.5821842766481
"31",-1.16348937878788,10.5868817911364
"32",-1.10372314141414,10.5884342966626
"33",-1.0439569040404,10.5987199953104
"34",-0.984190666666667,10.6216687374886
"35",-0.924424429292929,10.6483580152206
"36",-0.864658191919192,10.6786034825125
"37",-0.804891954545455,10.6914662912234
"38",-0.745125717171717,10.738862926898
"39",-0.68535947979798,10.7880566274841
"40",-0.625593242424242,10.9014323180982
"41",-0.565827005050505,11.1247715104835
"42",-0.506060767676768,11.2304778482933
"43",-0.44629453030303,11.3240641143667
"44",-0.386528292929293,11.4274487120575
"45",-0.326762055555555,11.4776142611934
"46",-0.266995818181818,11.5582864690694
"47",-0.207229580808081,11.6212117814055
"48",-0.147463343434343,11.6571583705366
"49",-0.087697106060606,11.6624644366008
"50",-0.0279308686868687,11.6527723346657
"51",0.0318353686868686,11.641642339534
"52",0.091601606060606,11.6004896193573
"53",0.151367843434343,11.5639709156923
"54",0.211134080808081,11.5248052715978
"55",0.270900318181818,11.4509465305179
"56",0.330666555555556,11.3277397146151
"57",0.390432792929293,11.076441205702
"58",0.45019903030303,10.9058289854186
"59",0.509965267676768,10.5051204098383
"60",0.569731505050505,10.2770549843227
"61",0.629497742424243,9.97230098297172
"62",0.68926397979798,9.116764882059
"63",0.749030217171717,8.34728080792888
"64",0.808796454545455,8.0530991094914
"65",0.868562691919192,7.93204775314456
"66",0.928328929292929,7.49098252686411
"67",0.988095166666667,7.17747457450825
"68",1.0478614040404,6.55865129319266
"69",1.10762764141414,6.409806286543
"70",1.16739387878788,6.21304432019892
"71",1.22716011616162,6.11538987231172
"72",1.28692635353535,5.96082049070011
"73",1.34669259090909,5.90647936623359
"74",1.40645882828283,5.87699918589534
"75",1.46622506565657,5.8635675419538
"76",1.5259913030303,5.85076940706357
"77",1.58575754040404,5.84027908069443
"78",1.64552377777778,5.83070532436446
"79",1.70529001515152,5.82695602780124
"80",1.76505625252525,5.82677947518647
"81",1.82482248989899,5.82743411030308
"82",1.88458872727273,5.82774093765997
"83",1.94435496464646,5.827953434357
"84",2.0041212020202,5.82908878050084
"85",2.06388743939394,5.82974353015447
"86",2.12365367676768,5.83047836914678
"87",2.18341991414141,5.83183983438389
"88",2.24318615151515,5.83190787932567
"89",2.30295238888889,5.83188999017668
"90",2.36271862626263,5.8317758642567
"91",2.42248486363636,5.83187720578172
"92",2.4822511010101,5.83194029135983
"93",2.54201733838384,5.83214843974557
"94",2.60178357575758,5.83220575873451
"95",2.66154981313131,5.83243911500863
"96",2.72131605050505,5.83275983222842
"97",2.78108228787879,5.83391435735587
"98",2.84084852525253,5.83391442145271
"99",2.90061476262626,5.83391444200463
"100",2.960381,5.83391466317604
