"","drought_timing","yhat"
"1",1,14.8263618900933
"2",1.72727272727273,14.8102441005753
"3",2.45454545454545,14.8065982528101
"4",3.18181818181818,14.7897775965248
"5",3.90909090909091,14.7772403684021
"6",4.63636363636364,14.735398304017
"7",5.36363636363636,14.7257541408881
"8",6.09090909090909,14.6452075370495
"9",6.81818181818182,14.6197337265809
"10",7.54545454545455,14.5937249292206
"11",8.27272727272727,14.5823885061959
"12",9,14.5155872596517
"13",9.72727272727273,14.4271531090026
"14",10.4545454545455,14.4152754101886
"15",11.1818181818182,14.2727334427282
"16",11.9090909090909,14.1432302689622
"17",12.6363636363636,13.9105760613401
"18",13.3636363636364,13.8906795903341
"19",14.0909090909091,13.107729289396
"20",14.8181818181818,12.4646162331093
"21",15.5454545454545,11.7980994793029
"22",16.2727272727273,11.7417015384117
"23",17,11.0265953017627
"24",17.7272727272727,10.23071903977
"25",18.4545454545455,10.1763521468876
"26",19.1818181818182,9.71006575735818
"27",19.9090909090909,9.31303119046114
"28",20.6363636363636,8.79683298526384
"29",21.3636363636364,8.77557651607706
"30",22.0909090909091,8.48503934922226
"31",22.8181818181818,8.24073245178156
"32",23.5454545454545,8.03514934147281
"33",24.2727272727273,8.02445138327569
"34",25,7.85222505107425
"35",25.7272727272727,7.76970384556077
"36",26.4545454545455,7.76601793062879
"37",27.1818181818182,7.72402364718556
"38",27.9090909090909,7.69169492699386
"39",28.6363636363636,7.64754553864166
"40",29.3636363636364,7.64514320407231
"41",30.0909090909091,7.61714085143782
"42",30.8181818181818,7.63172852001766
"43",31.5454545454545,7.74717880953587
"44",32.2727272727273,7.75076664456476
"45",33,8.17684496861413
"46",33.7272727272727,8.50527910370548
"47",34.4545454545455,8.51239068095702
"48",35.1818181818182,8.75320673357079
"49",35.9090909090909,9.32545489573882
"50",36.6363636363636,9.66296602164181
"51",37.3636363636364,9.66997618975077
"52",38.0909090909091,10.6173213919661
"53",38.8181818181818,10.9832918695033
"54",39.5454545454545,13.2323182061734
"55",40.2727272727273,13.2364087227083
"56",41,13.9734349162376
"57",41.7272727272727,14.3766000019292
"58",42.4545454545455,14.3817841872062
"59",43.1818181818182,14.5357044261323
"60",43.9090909090909,14.7315034146472
"61",44.6363636363636,15.1510941566287
"62",45.3636363636364,15.162473445898
"63",46.0909090909091,15.5106249272832
"64",46.8181818181818,15.6479062843086
"65",47.5454545454545,15.7884790095564
"66",48.2727272727273,15.7967602986508
"67",49,15.8544098589596
"68",49.7272727272727,15.8459558909795
"69",50.4545454545455,15.8490682447842
"70",51.1818181818182,16.0670935302979
"71",51.9090909090909,16.1148098733633
"72",52.6363636363636,16.1142447777656
"73",53.3636363636364,16.1214235283198
"74",54.0909090909091,16.4746930627725
"75",54.8181818181818,16.6663039081291
"76",55.5454545454545,16.8994060730902
"77",56.2727272727273,16.9100802786334
"78",57,17.3451639607972
"79",57.7272727272727,17.75086242715
"80",58.4545454545455,17.7734473265495
"81",59.1818181818182,18.2853681101703
"82",59.9090909090909,18.7363255638702
"83",60.6363636363636,19.0832066312777
"84",61.3636363636364,19.1306693446299
"85",62.0909090909091,19.4562916996955
"86",62.8181818181818,19.7290894772745
"87",63.5454545454545,20.2374941155761
"88",64.2727272727273,20.3267198006394
"89",65,20.6488775224412
"90",65.7272727272727,20.8653634415663
"91",66.4545454545455,20.9341236088425
"92",67.1818181818182,21.2181339578054
"93",67.9090909090909,21.348001966985
"94",68.6363636363636,21.3828056836171
"95",69.3636363636364,21.4076612493603
"96",70.0909090909091,21.4236950923905
"97",70.8181818181818,21.4237092943039
"98",71.5454545454545,21.424385797163
"99",72.2727272727273,21.424385797163
"100",73,21.4259617087634
