"","sos_zscore","yhat"
"1",-3.957,13.2684535189664
"2",-3.87591919191919,13.2684535189664
"3",-3.79483838383838,13.2684535189664
"4",-3.71375757575758,13.2684414434261
"5",-3.63267676767677,13.2681865468755
"6",-3.55159595959596,13.2676758130739
"7",-3.47051515151515,13.2675859470816
"8",-3.38943434343434,13.2637178650472
"9",-3.30835353535354,13.2560473716559
"10",-3.22727272727273,13.2544968035873
"11",-3.14619191919192,13.2496967131812
"12",-3.06511111111111,13.2478946385767
"13",-2.9840303030303,13.2423988802848
"14",-2.90294949494949,13.1622499967008
"15",-2.82186868686869,13.1283510791225
"16",-2.74078787878788,13.067663599204
"17",-2.65970707070707,12.976010085614
"18",-2.57862626262626,12.9040847247215
"19",-2.49754545454545,12.8380602943941
"20",-2.41646464646465,12.7825157859533
"21",-2.33538383838384,12.7002540641788
"22",-2.25430303030303,12.63746440857
"23",-2.17322222222222,12.5698846307567
"24",-2.09214141414141,12.5125312721609
"25",-2.01106060606061,12.4510338690738
"26",-1.9299797979798,12.388723309664
"27",-1.84889898989899,12.3329539309591
"28",-1.76781818181818,12.2775704456969
"29",-1.68673737373737,12.2285709548051
"30",-1.60565656565657,12.1828761268487
"31",-1.52457575757576,12.1320994178346
"32",-1.44349494949495,12.0806677345057
"33",-1.36241414141414,12.0344166824368
"34",-1.28133333333333,11.9788659269068
"35",-1.20025252525252,11.9313037700096
"36",-1.11917171717172,11.8778705206929
"37",-1.03809090909091,11.7941528301923
"38",-0.957010101010101,11.7226061962877
"39",-0.875929292929293,11.6588264192689
"40",-0.794848484848484,11.5673932053578
"41",-0.713767676767676,11.5213134689688
"42",-0.632686868686868,11.4670500227189
"43",-0.55160606060606,11.3938770102125
"44",-0.470525252525252,11.316642007406
"45",-0.389444444444444,11.2194339195267
"46",-0.308363636363636,11.122477163456
"47",-0.227282828282828,10.9631732527692
"48",-0.14620202020202,10.8918513993769
"49",-0.0651212121212117,10.8357287969911
"50",0.0159595959595964,10.7759270698124
"51",0.0970404040404045,10.7315991000333
"52",0.178121212121213,10.5897996764417
"53",0.259202020202021,10.4561610464803
"54",0.340282828282828,10.3391748431377
"55",0.421363636363637,10.202812098934
"56",0.502444444444445,10.0892935387614
"57",0.583525252525253,10.0077033056796
"58",0.664606060606061,9.95042693444335
"59",0.745686868686869,9.91489174539623
"60",0.826767676767678,9.9019490646667
"61",0.907848484848485,9.90275258343232
"62",0.988929292929293,9.90897759664377
"63",1.0700101010101,9.91330719070142
"64",1.15109090909091,9.9327618384686
"65",1.23217171717172,9.95930867026671
"66",1.31325252525253,9.98659683247769
"67",1.39433333333333,10.0232657545553
"68",1.47541414141414,10.0645252755657
"69",1.55649494949495,10.1107728073244
"70",1.63757575757576,10.1637278040729
"71",1.71865656565657,10.2212770395258
"72",1.79973737373737,10.3036876898914
"73",1.88081818181818,10.3689720715605
"74",1.96189898989899,10.4308099758314
"75",2.0429797979798,10.507077206645
"76",2.12406060606061,10.5847429980552
"77",2.20514141414141,10.6785849521052
"78",2.28622222222222,10.7367328549155
"79",2.36730303030303,10.7765303270546
"80",2.44838383838384,10.8123751037326
"81",2.52946464646465,10.8627373734183
"82",2.61054545454545,10.8966214872229
"83",2.69162626262626,10.9175617122812
"84",2.77270707070707,10.9365272825148
"85",2.85378787878788,10.9486805341766
"86",2.93486868686869,10.964380174539
"87",3.0159494949495,10.985340763398
"88",3.0970303030303,11.0596954641278
"89",3.17811111111111,11.0741882033992
"90",3.25919191919192,11.0902294729069
"91",3.34027272727273,11.0912747118329
"92",3.42135353535354,11.0913878576811
"93",3.50243434343434,11.0913878576811
"94",3.58351515151515,11.0913878576811
"95",3.66459595959596,11.0913878576811
"96",3.74567676767677,11.0913878576811
"97",3.82675757575758,11.0913878576811
"98",3.90783838383838,11.0913878576811
"99",3.98891919191919,11.0913878576811
"100",4.07,11.0913878576811
